AREA,LDP,Index flood,,,,,,,,,-1.801945807,0.244052892,66.20979241
51.56,13.29,40.380997,,,,,,,,,,,
331.64,31.14,342.057,,,,,,,,,,,
136.34,23.09,27.9975,,,,,,,,,,,
1049.61,69.1,440.64,,,,,,,,,,,
792.65,102.52,112.720505,,,,,,,,,,,
10.94,10.72,2.6455,,,,,,,,,,,
172.17,37.71,114.795,,,,,,,,,,,
341.76,32.35,378.99548,,,,,,,,,,,
11.46,6.03,15.09,,,,,,,,,,,
88.59,24.07,29.739,,,,,,,,,,,
1090.83,89.91,378.803,,,,,,,,,,,
502.24,57.21,117.71,,,,,,,,,,,
173.94,48.39,51.665,,,,,,,,,,,
55.97,13.52,77.673,,,,,,,,,,,
621.52,64.6,46.449997,,,,,,,,,,,
1594.22,99.11,80.4105,,,,,,,,,,,
184.23,28.56,48.267,,,,,,,,,,,
79.4,20.37,45.324997,,,,,,,,,,,
85.63,22.77,8.1345005,,,,,,,,,,,
123.5,26.22,6.552,,,,,,,,,,,
58.16,13.64,4.628,,,,,,,,,,,
182.48,29.83,32.242,,,,,,,,,,,
92.74,31.53,10.6,,,,,,,,,,,
1380.04,107.51,436.809,,,,,,,,,,,
84.62,24.12,5.594,,,,,,,,,,,
783.72,71.45,250.242,,,,,,,,,,,
68,21.79,3.715,,,,,,,,,,,
63.78,18.61,8.502,,,,,,,,,,,
232.41,41.66,80.669,,,,,,,,,,,
75.85,25.22,2.889,,,,,,,,,,,
897.26,109.03,215.506,,,,,,,,,,,
510.02,54.43,441.99402,,,,,,,,,,,
579.08,69.54,248.945,,,,,,,,,,,
778.96,66.61,262.16998,,,,,,,,,,,
278.05,36.97,42.098503,,,,,,,,,,,
444.8,54.2,129.252,,,,,,,,,,,
50.97,16.1,13.606501,,,,,,,,,,,
1269.46,127.35,136.246,,,,,,,,,,,
38.59,11.98,60.364,,,,,,,,,,,
2852.4,162.33,472.093,,,,,,,,,,,
36.7,12.13,6.12,,,,,,,,,,,
263.63,30.57,72.6325,,,,,,,,,,,
137.79,23.72,36.2005,,,,,,,,,,,
108.14,24.19,1.987,,,,,,,,,,,
52.44,19.05,16.406,,,,,,,,,,,
103.32,21.93,3.659,,,,,,,,,,,
116.03,20.64,38.503,,,,,,,,,,,
140.09,22.82,8.129,,,,,,,,,,,
366.25,46,226.806,,,,,,,,,,,
414.39,58.38,98.094,,,,,,,,,,,
832.97,63.01,229.1175,,,,,,,,,,,
1.74,2.74,1.2245,,,,,,,,,,,
86.01,22.11,117.965,,,,,,,,,,,
228.88,30.57,71.491,,,,,,,,,,,
89.03,27.77,11.053,,,,,,,,,,,
162.76,22.45,30.382,,,,,,,,,,,
94.89,20.47,3.421,,,,,,,,,,,
1124.59,82.68,138.789,,,,,,,,,,,
60.07,15.99,24.7325,,,,,,,,,,,
26.83,11.19,3.9580002,,,,,,,,,,,
759.03,107.44,233.276,,,,,,,,,,,
1745.88,102.35,223.915,,,,,,,,,,,
98.37,21.17,37.486,,,,,,,,,,,
88.18,22.94,80.015,,,,,,,,,,,
4.32,3.74,1.906,,,,,,,,,,,
205.67,31.37,15.948,,,,,,,,,,,
8.69,5.73,13.829,,,,,,,,,,,
365.9,54.57,44.366,,,,,,,,,,,
